Virtual User Script started at : 1/24/2017 7:45:32 PM
Starting action vuser_init.
Web Turbo Replay of LoadRunner 12.53.0 for Windows 10; build 1203 (Jan 24 2017 19:13:20)  	[MsgId: MMSG-26983]
Run mode: HTML  	[MsgId: MMSG-26993]
Replay user agent: Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36  	[MsgId: MMSG-26988]
Run-Time Settings file: "C:\Users\Naveen Reddy Vangala\Documents\VuGen\Scripts\sample 2\\default.cfg"  	[MsgId: MMSG-27141]
Ending action vuser_init.
Running Vuser...
Starting iteration 1.
Maximum number of concurrent connections per server: 6  	[MsgId: MMSG-26989]
Starting action Action.
Action.c(4): web_url("localhost:60680") started  	[MsgId: MMSG-26355]
Action.c(4): Found resource "https://fonts.googleapis.com/css?family=PT+Sans:400,700,400italic,700italic" in HTML "http://localhost:60680/"  	[MsgId: MMSG-26659]
Action.c(4): Found resource "http://localhost:60680/css/animate.css" in HTML "http://localhost:60680/"  	[MsgId: MMSG-26659]
Action.c(4): Found resource "http://localhost:60680/css/icomoon.css" in HTML "http://localhost:60680/"  	[MsgId: MMSG-26659]
Action.c(4): Found resource "http://localhost:60680/css/simple-line-icons.css" in HTML "http://localhost:60680/"  	[MsgId: MMSG-26659]
Action.c(4): Found resource "http://localhost:60680/css/bootstrap.css" in HTML "http://localhost:60680/"  	[MsgId: MMSG-26659]
Action.c(4): Found resource "http://localhost:60680/css/owl.carousel.min.css" in HTML "http://localhost:60680/"  	[MsgId: MMSG-26659]
Action.c(4): Found resource "http://localhost:60680/css/owl.theme.default.min.css" in HTML "http://localhost:60680/"  	[MsgId: MMSG-26659]
Action.c(4): Found resource "http://localhost:60680/css/style.css" in HTML "http://localhost:60680/"  	[MsgId: MMSG-26659]
Action.c(4): Found resource "http://localhost:60680/js/modernizr-2.6.2.min.js" in HTML "http://localhost:60680/"  	[MsgId: MMSG-26659]
Action.c(4): Found resource "http://localhost:60680/images/person4.jpg" in HTML "http://localhost:60680/"  	[MsgId: MMSG-26659]
Action.c(4): Downloading resource "https://translate.googleapis.com/translate_a/l?client=chrome&hl=en&key=AIzaSyBOti4mM-6x9WDnZIjIeyEU21OpBXqWBgw&alpha=1" (specified by argument number 9)  	[MsgId: MMSG-26577]
Action.c(4): Downloading resource "http://localhost:60680/fonts/icomoon/icomoon.ttf?srf3rx" (specified by argument number 12)  	[MsgId: MMSG-26577]
Action.c(4): Downloading resource "http://localhost:60680/fonts/simple-line-icons/Simple-Line-Icons.ttf?v=2.2.2" (specified by argument number 15)  	[MsgId: MMSG-26577]
Action.c(4): Downloading resource "http://localhost:60680/images/full_image_3.jpg" (specified by argument number 18)  	[MsgId: MMSG-26577]
Action.c(4): Downloading resource "https://csi.gstatic.com/csi?v=2&s=mapsapi3&v3v=27.10&action=apiboot2&e=10_1_0,10_2_0&rt=main.17" (specified by argument number 20)  	[MsgId: MMSG-26577]
Action.c(4): Downloading resource "https://maps.googleapis.com/maps-api-v3/api/js/27/10/common.js" (specified by argument number 22)  	[MsgId: MMSG-26577]
Action.c(4): Downloading resource "http://localhost:9264/981241ba45fd409bb2f04296b511663a/browserLinkSignalR/negotiate?requestUrl=http%3A%2F%2Flocalhost%3A60680%2F&browserName=Chrome&userAgent=Mozilla%2F5.0+(Windows+NT+10.0%3B+WOW64)+AppleWebKit%2F537.36+(KHTML%2C+like+Gecko)+Chrome%2F55.0.2883.87+Safari%2F537.36&clientProtocol=1.3&_=1485308630060" (specified by argument number 24)  	[MsgId: MMSG-26577]
Action.c(4): Downloading resource "https://csi.gstatic.com/csi?v=2&s=mapsapi3&v3v=27.10&action=apiboot2&e=10_1_0,10_2_0&rt=firstmap.1256" (specified by argument number 26)  	[MsgId: MMSG-26577]
Action.c(4): Downloading resource "http://maps.googleapis.com/maps/api/geocode/json?address=Brooklyn&sensor=false" (specified by argument number 28)  	[MsgId: MMSG-26577]
Action.c(4): Downloading resource "https://maps.gstatic.com/mapfiles/openhand_8_8.cur" (specified by argument number 30)  	[MsgId: MMSG-26577]
Action.c(4): Downloading resource "http://localhost:60680/images/loc.png" (specified by argument number 32)  	[MsgId: MMSG-26577]
Action.c(4): Downloading resource "http://localhost:60680/__browserLink/requestData/db6145a6f2da4610b869955b32bdfe1c?version=2" (specified by argument number 34)  	[MsgId: MMSG-26577]
